QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
459,Geometry,Easy,Find area of triangle with base 40 cm and height 29 cm.,"[435.0, 145.0, 290.0, 580.0]",580,Area = 0.5*40*29 = 580.0
460,Algebra,Medium,"Solve the system: 6x+6y=48, 1x+6y=28","['(3,3)', '(4,4)', '(4,5)', '(5,4)']","(4,4)","Solved x=4, y=4"
461,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
462,Percentages,Easy,What is 15% of 1550?,"[232.5, 116.25, 174.38, 58.12]",232.5,15% = 15/100. So 15/100 × 1550 = 232.5
463,Percentages,Hard,A cask of 50L full of wine has 6L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[31.34, 25.89, 34.07, 28.62]",34.07,Wine remaining = 50 * (1 - 6/50)^3 = 34.07L
464,Percentages,Medium,A cask of 50L full of wine has 5L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[32.8, 27.55, 24.93, 30.18]",32.8,Wine remaining = 50 * (1 - 5/50)^4 = 32.8L
465,Ratios,Expert,"Ratio 20:5, total=222. Find parts.","['179.6,42.4', '177.6,44.4', '182.6,39.4', '174.6,47.4']","177.6,44.4","Parts=177.6,44.4"
466,Algebra,Expert,"Solve the system: 8x+6y=14, 3x+6y=24","['(-2,5)', '(-2,6)', '(-3,4)', '(-1,5)']","(-2,5)","Solved x=-2, y=5"
467,Ratios,Hard,"Ratio 6:7, total=423. Find parts.","['197.23,225.77', '200.23,222.77', '192.23,230.77', '195.23,227.77']","195.23,227.77","Parts=195.23,227.77"
468,Number Theory,Easy,"gcd(174,101)?","[1, -2, 0, -1]",1,gcd=1
469,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
470,Ratios,Easy,"Ratio 9:13, total=213. Find parts.","['89.14,123.86', '87.14,125.86', '84.14,128.86', '92.14,120.86']","87.14,125.86","Parts=87.14,125.86"
471,Ratios,Hard,"Ratio 16:2, total=185. Find parts.","['166.44,18.56', '161.44,23.56', '164.44,20.56', '169.44,15.559999999999999']","164.44,20.56","Parts=164.44,20.56"
472,Geometry,Hard,Find area of triangle with base 4 cm and height 5 cm.,"[2.5, 7.5, 5.0, 10.0]",10,Area = 0.5*4*5 = 10.0
473,Algebra,Expert,Find the roots of x^2 + 1x + 0 = 0,"['(1,-2)', '(-1,0)', '(0, -1)', '(-1,0)']","(0, -1)",Roots are 0 and -1
474,Number Theory,Medium,"gcd(135,38)?","[0, 1, -1, -2]",1,gcd=1
475,Geometry,Hard,Find area of triangle with base 8 cm and height 14 cm.,"[42.0, 14.0, 56.0, 28.0]",56,Area = 0.5*8*14 = 56.0
476,Ratios,Easy,"Ratio 19:4, total=223. Find parts.","['189.22,33.78', '184.22,38.78', '181.22,41.78', '186.22,36.78']","184.22,38.78","Parts=184.22,38.78"
477,Probability,Medium,Urn has 5 red and 3 blue. Prob red?,"['5/10', '5/8', '6/8', '4/8']",05-Aug,"Favorable=5, Total=8"
478,Algebra,Medium,Find the roots of x^2 + -7x + 10 = 0,"['(5, 2)', '(2,5)', '(4,3)', '(6,1)']","(5, 2)",Roots are 5 and 2
479,Geometry,Medium,Find area of triangle with base 7 cm and height 16 cm.,"[28.0, 42.0, 14.0, 56.0]",56,Area = 0.5*7*16 = 56.0
480,Geometry,Easy,Find circumference of circle radius 4 cm.,"[12.56, 18.85, 6.28, 25.13]",25.13,Circumference=2*pi*r=25.13
481,Percentages,Medium,"If 50% of a number is 790, what is the number?","[1264.0, 1580.0, 948.0, 632.0]",1580,x = 790/(0.5) = 1580.0
482,Geometry,Expert,Find circumference of circle radius 17 cm.,"[106.81, 53.41, 80.11, 26.7]",106.81,Circumference=2*pi*r=106.81
483,Algebra,Hard,Find the roots of x^2 + 5x + 4 = 0,"['(0,-5)', '(-4,-1)', '(-1, -4)', '(-2,-3)']","(-1, -4)",Roots are -1 and -4
484,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
485,Algebra,Hard,"Solve the system: 1x+3y=5, 2x+2y=10","['(6,0)', '(5,0)', '(5,1)', '(4,-1)']","(5,0)","Solved x=5, y=0"
486,Number Theory,Easy,"lcm(21,18)?","[124, 123, 125, 126]",126,LCM=126
487,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
488,Ratios,Easy,"Ratio 18:20, total=314. Find parts.","['145.74,168.26', '150.74,163.26', '148.74,165.26', '153.74,160.26']","148.74,165.26","Parts=148.74,165.26"
489,Algebra,Medium,Solve for x: 5x + 5 = 3,"[-0.41, -0.42, -0.43, -0.4]",-0.4,x = (3-5)/5 = -0.4
490,Algebra,Medium,"Solve the system: 5x+6y=23, 2x+2y=8","['(1,3)', '(2,3)', '(1,4)', '(0,2)']","(1,3)","Solved x=1, y=3"
491,Geometry,Expert,Find area of triangle with base 37 cm and height 29 cm.,"[402.38, 268.25, 134.12, 536.5]",536.5,Area = 0.5*37*29 = 536.5
492,Algebra,Medium,"Solve the system: 2x+2y=6, 2x+5y=6","['(3,0)', '(3,1)', '(4,0)', '(2,-1)']","(3,0)","Solved x=3, y=0"
493,Ratios,Expert,"Ratio 20:17, total=69. Find parts.","['37.3,31.7', '34.3,34.7', '39.3,29.7', '42.3,26.7']","37.3,31.7","Parts=37.3,31.7"
494,Algebra,Expert,Solve for x: 8x + 11 = 45,"[3.19, 4.25, 1.06, 2.12]",4.25,x = (45-11)/8 = 4.25
495,Geometry,Hard,Find area of triangle with base 25 cm and height 30 cm.,"[93.75, 375.0, 187.5, 281.25]",375,Area = 0.5*25*30 = 375.0
496,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
497,Geometry,Expert,Find circumference of circle radius 10 cm.,"[47.12, 31.41, 62.83, 15.71]",62.83,Circumference=2*pi*r=62.83
498,Algebra,Expert,"Solve the system: 8x+6y=-38, 1x+3y=-7","['(-3,-1)', '(-4,0)', '(-4,-1)', '(-5,-2)']","(-4,-1)","Solved x=-4, y=-1"
499,Algebra,Medium,Solve for x: 2x + 8 = 3,"[-2.51, -2.52, -2.53, -2.5]",-2.5,x = (3-8)/2 = -2.5
500,Ratios,Medium,"Ratio 10:13, total=471. Find parts.","['204.78,266.22', '209.78,261.22', '201.78,269.22', '206.78,264.22']","204.78,266.22","Parts=204.78,266.22"
501,Ratios,Easy,"Ratio 2:9, total=240. Find parts.","['43.64,196.36', '48.64,191.36', '40.64,199.36', '45.64,194.36']","43.64,196.36","Parts=43.64,196.36"
502,Algebra,Expert,"Solve the system: 6x+6y=72, 3x+5y=48","['(6,7)', '(5,5)', '(7,6)', '(6,6)']","(6,6)","Solved x=6, y=6"
503,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
504,Algebra,Medium,"Solve the system: 4x+5y=63, 7x+1y=56","['(7,8)', '(6,6)', '(8,7)', '(7,7)']","(7,7)","Solved x=7, y=7"
505,Ratios,Medium,"Ratio 2:9, total=179. Find parts.","['32.55,146.45', '37.55,141.45', '34.55,144.45', '29.549999999999997,149.45']","32.55,146.45","Parts=32.55,146.45"
506,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
507,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
508,Geometry,Expert,Hypotenuse of right triangle with legs 6 cm and 4 cm?,"[3.97, 5.05, 7.21, 6.13]",7.21,c=sqrt(6^2+4^2)=7.21
509,Geometry,Easy,Find circumference of circle radius 4 cm.,"[6.28, 12.56, 25.13, 18.85]",25.13,Circumference=2*pi*r=25.13
510,Geometry,Hard,Hypotenuse of right triangle with legs 12 cm and 10 cm?,"[15.62, 8.59, 13.28, 10.93]",15.62,c=sqrt(12^2+10^2)=15.62
511,Percentages,Expert,A value changed by 30% then by -20%. What is the net change?,"['4.0% gain', '12.0% loss', '4.0% loss', '0% no change']",4.0% gain,Net change = 30 + -20 + (30*-20/100) = 4.0%
512,Probability,Easy,Urn has 7 red and 6 blue. Prob red?,"['7/15', '6/13', '8/13', '7/13']",Jul-13,"Favorable=7, Total=13"
513,Ratios,Expert,"Ratio 13:18, total=203. Find parts.","['87.13,115.87', '85.13,117.87', '82.13,120.87', '90.13,112.87']","85.13,117.87","Parts=85.13,117.87"
514,Geometry,Easy,Find circumference of circle radius 6 cm.,"[9.43, 37.7, 28.28, 18.85]",37.7,Circumference=2*pi*r=37.7
515,Ratios,Easy,"Ratio 9:13, total=164. Find parts.","['67.09,96.91', '69.09,94.91', '72.09,91.91', '64.09,99.91']","67.09,96.91","Parts=67.09,96.91"
516,Geometry,Hard,Hypotenuse of right triangle with legs 12 cm and 18 cm?,"[18.39, 21.63, 15.14, 11.9]",21.63,c=sqrt(12^2+18^2)=21.63
517,Ratios,Easy,"Ratio 17:8, total=306. Find parts.","['210.08,95.92', '213.08,92.92', '205.08,100.92', '208.08,97.92']","208.08,97.92","Parts=208.08,97.92"
518,Number Theory,Hard,"lcm(6,9)?","[17, 18, 15, 16]",18,LCM=18
519,Probability,Expert,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
520,Ratios,Medium,"Ratio 4:17, total=220. Find parts.","['38.9,181.1', '41.9,178.1', '43.9,176.1', '46.9,173.1']","41.9,178.1","Parts=41.9,178.1"
521,Percentages,Expert,A value changed by 12.5% then by -20%. What is the net change?,"['14.0% gain', '10.0% loss', '6.0% gain', '18.0% gain']",10.0% loss,Net change = 12.5 + -20 + (12.5*-20/100) = -10.0%
522,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
523,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
524,Ratios,Hard,"Ratio 2:12, total=437. Find parts.","['64.43,372.57', '59.43,377.57', '62.43,374.57', '67.43,369.57']","62.43,374.57","Parts=62.43,374.57"
525,Ratios,Medium,"Ratio 9:13, total=209. Find parts.","['82.5,126.5', '87.5,121.5', '85.5,123.5', '90.5,118.5']","85.5,123.5","Parts=85.5,123.5"
526,Number Theory,Hard,"gcd(36,31)?","[-2, 1, -1, 0]",1,gcd=1
527,Ratios,Hard,"Ratio 15:6, total=225. Find parts.","['157.71,67.29', '160.71,64.29', '165.71,59.290000000000006', '162.71,62.290000000000006']","160.71,64.29","Parts=160.71,64.29"
528,Algebra,Expert,Solve for x: 5x + 8 = 47,"[7.8, 5.85, 1.95, 3.9]",7.8,x = (47-8)/5 = 7.8
529,Number Theory,Medium,"gcd(113,186)?","[1, 0, -1, -2]",1,gcd=1
530,Number Theory,Easy,Is 13 prime?,"['Yes', 'No']",Yes,13 is Yes
531,Ratios,Easy,"Ratio 2:3, total=403. Find parts.","['163.2,239.8', '158.2,244.8', '166.2,236.8', '161.2,241.8']","161.2,241.8","Parts=161.2,241.8"
532,Probability,Easy,Urn has 4 red and 5 blue. Prob red?,"['5/9', '4/11', '3/9', '4/9']",04-Sep,"Favorable=4, Total=9"
533,Geometry,Expert,Hypotenuse of right triangle with legs 6 cm and 25 cm?,"[18.0, 14.14, 25.71, 21.85]",25.71,c=sqrt(6^2+25^2)=25.71
534,Probability,Easy,Urn has 7 red and 6 blue. Prob red?,"['7/15', '8/13', '7/13', '6/13']",Jul-13,"Favorable=7, Total=13"
535,Percentages,Expert,"If 40% of a number is 560, what is the number?","[840.0, 560.0, 1400.0, 1120.0]",1400,x = 560/(0.4) = 1400.0
536,Geometry,Expert,Find area of circle radius 7 cm.,"[115.45, 76.97, 38.48, 153.94]",153.94,Area=pi*r^2=153.94
537,Geometry,Medium,Find area of triangle with base 4 cm and height 25 cm.,"[37.5, 25.0, 50.0, 12.5]",50,Area = 0.5*4*25 = 50.0
538,Algebra,Easy,"Solve the system: 2x+2y=2, 5x+4y=6","['(1,-2)', '(2,-1)', '(3,-1)', '(2,0)']","(2,-1)","Solved x=2, y=-1"
539,Percentages,Medium,What is 25% of 1950?,"[487.5, 121.88, 243.75, 365.62]",487.5,25% = 25/100. So 25/100 × 1950 = 487.5
540,Percentages,Easy,What is 12.5% of 950?,"[29.69, 118.75, 59.38, 89.06]",118.75,12.5% = 12.5/100. So 12.5/100 × 950 = 118.75
541,Number Theory,Hard,Is 15 prime?,"['Yes', 'No']",No,15 is No
542,Geometry,Hard,Find area of triangle with base 11 cm and height 16 cm.,"[22.0, 66.0, 44.0, 88.0]",88,Area = 0.5*11*16 = 88.0
543,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
544,Ratios,Medium,"Ratio 5:6, total=406. Find parts.","['189.55,216.45', '181.55,224.45', '186.55,219.45', '184.55,221.45']","184.55,221.45","Parts=184.55,221.45"
545,Probability,Expert,Urn has 7 red and 5 blue. Prob red?,"['6/12', '8/12', '7/14', '7/12']",07-Dec,"Favorable=7, Total=12"
546,Geometry,Easy,Hypotenuse of right triangle with legs 7 cm and 19 cm?,"[17.21, 14.18, 11.14, 20.25]",20.25,c=sqrt(7^2+19^2)=20.25
547,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
548,Ratios,Hard,"Ratio 2:18, total=442. Find parts.","['44.2,397.8', '46.2,395.8', '41.2,400.8', '49.2,392.8']","44.2,397.8","Parts=44.2,397.8"
549,Number Theory,Easy,"lcm(26,28)?","[361, 363, 364, 362]",364,LCM=364
550,Ratios,Expert,"Ratio 6:19, total=363. Find parts.","['92.12,270.88', '84.12,278.88', '89.12,273.88', '87.12,275.88']","87.12,275.88","Parts=87.12,275.88"
551,Number Theory,Expert,"lcm(10,7)?","[69, 67, 68, 70]",70,LCM=70
552,Geometry,Hard,Find area of triangle with base 36 cm and height 11 cm.,"[148.5, 49.5, 99.0, 198.0]",198,Area = 0.5*36*11 = 198.0
553,Percentages,Expert,"In an election with 2 candidates, the winner got 70% of votes and won by 1800 votes. Find total votes cast.","[4500, 4499, 4498, 4497]",4500,100% = 1800/(0.4) = 4500
554,Geometry,Easy,Find area of circle radius 25 cm.,"[1963.5, 1472.62, 981.75, 490.88]",1963.5,Area=pi*r^2=1963.5
555,Percentages,Easy,What is 20% of 3950?,"[197.5, 790.0, 592.5, 395.0]",790,20% = 20/100. So 20/100 × 3950 = 790.0
556,Geometry,Hard,Find area of triangle with base 18 cm and height 18 cm.,"[40.5, 81.0, 162.0, 121.5]",162,Area = 0.5*18*18 = 162.0
557,Ratios,Hard,"Ratio 16:5, total=99. Find parts.","['72.43,26.57', '77.43,21.57', '75.43,23.57', '80.43,18.57']","75.43,23.57","Parts=75.43,23.57"
558,Geometry,Hard,Hypotenuse of right triangle with legs 19 cm and 15 cm?,"[16.95, 20.58, 24.21, 13.32]",24.21,c=sqrt(19^2+15^2)=24.21
559,Probability,Medium,Urn has 7 red and 7 blue. Prob red?,"['7/16', '7/14', '6/14', '8/14']",Jul-14,"Favorable=7, Total=14"
560,Number Theory,Medium,"gcd(50,120)?","[9, 7, 10, 8]",10,gcd=10
561,Ratios,Hard,"Ratio 5:15, total=73. Find parts.","['20.25,52.75', '15.25,57.75', '23.25,49.75', '18.25,54.75']","18.25,54.75","Parts=18.25,54.75"
562,Ratios,Medium,"Ratio 17:2, total=321. Find parts.","['289.21,31.79', '292.21,28.79', '284.21,36.79', '287.21,33.79']","287.21,33.79","Parts=287.21,33.79"
563,Number Theory,Expert,Is 21 prime?,"['Yes', 'No']",No,21 is No
564,Ratios,Medium,"Ratio 6:5, total=248. Find parts.","['135.27,112.73', '140.27,107.73', '137.27,110.73', '132.27,115.73']","135.27,112.73","Parts=135.27,112.73"
565,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
566,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
567,Probability,Medium,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
568,Number Theory,Hard,Is 45 prime?,"['Yes', 'No']",No,45 is No
569,Geometry,Medium,Find area of triangle with base 17 cm and height 23 cm.,"[48.88, 97.75, 195.5, 146.62]",195.5,Area = 0.5*17*23 = 195.5
570,Ratios,Medium,"Ratio 7:18, total=327. Find parts.","['96.56,230.44', '91.56,235.44', '93.56,233.44', '88.56,238.44']","91.56,235.44","Parts=91.56,235.44"
571,Geometry,Expert,Hypotenuse of right triangle with legs 16 cm and 25 cm?,"[29.68, 16.32, 20.78, 25.23]",29.68,c=sqrt(16^2+25^2)=29.68
572,Number Theory,Easy,"gcd(117,57)?","[1, 3, 2, 0]",3,gcd=3
573,Algebra,Hard,Solve for x: 6x + 9 = 10,"[0.17, 0.09, 0.13, 0.04]",0.17,x = (10-9)/6 = 0.17
574,Algebra,Easy,Find the roots of x^2 + 4x + -5 = 0,"['(1, -5)', '(0,-4)', '(2,-6)', '(-5,1)']","(1, -5)",Roots are 1 and -5
575,Algebra,Hard,"Solve the system: 1x+7y=42, 7x+7y=84","['(8,5)', '(7,5)', '(6,4)', '(7,6)']","(7,5)","Solved x=7, y=5"
576,Percentages,Hard,"If 40% of a number is 1180, what is the number?","[1180.0, 2950.0, 2360.0, 1770.0]",2950,x = 1180/(0.4) = 2950.0
577,Number Theory,Medium,Is 22 prime?,"['Yes', 'No']",No,22 is No
578,Geometry,Expert,Find area of triangle with base 8 cm and height 9 cm.,"[36.0, 9.0, 27.0, 18.0]",36,Area = 0.5*8*9 = 36.0
579,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
580,Geometry,Hard,Find area of triangle with base 14 cm and height 22 cm.,"[154.0, 77.0, 38.5, 115.5]",154,Area = 0.5*14*22 = 154.0
581,Probability,Medium,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
582,Geometry,Easy,Hypotenuse of right triangle with legs 12 cm and 19 cm?,"[22.47, 15.73, 12.36, 19.1]",22.47,c=sqrt(12^2+19^2)=22.47
583,Number Theory,Medium,"gcd(153,37)?","[-2, 0, 1, -1]",1,gcd=1
584,Percentages,Hard,"If 20% of a number is 1740, what is the number?","[3480.0, 8700.0, 5220.0, 6960.0]",8700,x = 1740/(0.2) = 8700.0
585,Geometry,Medium,Hypotenuse of right triangle with legs 19 cm and 19 cm?,"[22.84, 18.81, 26.87, 14.78]",26.87,c=sqrt(19^2+19^2)=26.87
586,Probability,Medium,Urn has 6 red and 6 blue. Prob red?,"['6/14', '7/12', '5/12', '6/12']",06-Dec,"Favorable=6, Total=12"
587,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
588,Geometry,Hard,Find area of triangle with base 37 cm and height 30 cm.,"[138.75, 277.5, 555.0, 416.25]",555,Area = 0.5*37*30 = 555.0
589,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
590,Ratios,Medium,"Ratio 12:18, total=92. Find parts.","['41.8,50.2', '33.8,58.2', '38.8,53.2', '36.8,55.2']","36.8,55.2","Parts=36.8,55.2"
591,Ratios,Easy,"Ratio 8:8, total=492. Find parts.","['251.0,241.0', '243.0,249.0', '246.0,246.0', '248.0,244.0']","246.0,246.0","Parts=246.0,246.0"
592,Number Theory,Expert,Is 14 prime?,"['Yes', 'No']",No,14 is No
593,Ratios,Medium,"Ratio 2:16, total=417. Find parts.","['51.33,365.67', '48.33,368.67', '46.33,370.67', '43.33,373.67']","46.33,370.67","Parts=46.33,370.67"
594,Percentages,Easy,"If 25% of a number is 1470, what is the number?","[3528.0, 5880.0, 4704.0, 2352.0]",5880,x = 1470/(0.25) = 5880.0
595,Geometry,Expert,Find circumference of circle radius 16 cm.,"[75.4, 25.13, 50.27, 100.53]",100.53,Circumference=2*pi*r=100.53
596,Probability,Easy,Urn has 2 red and 7 blue. Prob red?,"['2/9', '3/9', '2/11', '1/9']",02-Sep,"Favorable=2, Total=9"
597,Ratios,Easy,"Ratio 13:18, total=104. Find parts.","['43.61,60.39', '48.61,55.39', '45.61,58.39', '40.61,63.39']","43.61,60.39","Parts=43.61,60.39"
598,Number Theory,Easy,"lcm(29,19)?","[550, 548, 549, 551]",551,LCM=551
599,Probability,Medium,Urn has 3 red and 3 blue. Prob red?,"['2/6', '3/6', '3/8', '4/6']",03-Jun,"Favorable=3, Total=6"
600,Ratios,Medium,"Ratio 11:13, total=55. Find parts.","['27.21,27.79', '22.21,32.79', '25.21,29.79', '30.21,24.79']","25.21,29.79","Parts=25.21,29.79"
601,Percentages,Expert,A cask of 40L full of wine has 8L drawn and replaced with water. This is done 2 times. How much wine remains (to 2 decimals)?,"[25.6, 21.5, 19.46, 23.55]",25.6,Wine remaining = 40 * (1 - 8/40)^2 = 25.6L
602,Ratios,Medium,"Ratio 7:7, total=163. Find parts.","['86.5,76.5', '83.5,79.5', '81.5,81.5', '78.5,84.5']","81.5,81.5","Parts=81.5,81.5"
603,Algebra,Easy,"Solve the system: 8x+2y=-16, 5x+2y=-13","['(-1,-4)', '(-2,-5)', '(-1,-3)', '(0,-4)']","(-1,-4)","Solved x=-1, y=-4"
604,Geometry,Hard,Find area of triangle with base 19 cm and height 7 cm.,"[33.25, 16.62, 66.5, 49.88]",66.5,Area = 0.5*19*7 = 66.5
605,Algebra,Hard,Find the roots of x^2 + 0x + -1 = 0,"['(-1,1)', '(1, -1)', '(0,0)', '(2,-2)']","(1, -1)",Roots are 1 and -1
606,Number Theory,Hard,"lcm(18,10)?","[89, 90, 88, 87]",90,LCM=90
607,Algebra,Expert,Find the roots of x^2 + 5x + 4 = 0,"['(-1, -4)', '(-2,-3)', '(-4,-1)', '(0,-5)']","(-1, -4)",Roots are -1 and -4
608,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
609,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
610,Geometry,Medium,Hypotenuse of right triangle with legs 9 cm and 12 cm?,"[10.5, 15.0, 12.75, 8.25]",15,c=sqrt(9^2+12^2)=15.0
611,Percentages,Easy,A cask of 80L full of wine has 6L drawn and replaced with water. This is done 2 times. How much wine remains (to 2 decimals)?,"[52.02, 57.5, 68.45, 62.97]",68.45,Wine remaining = 80 * (1 - 6/80)^2 = 68.45L
612,Ratios,Medium,"Ratio 13:14, total=164. Find parts.","['80.96,83.04', '83.96,80.04', '78.96,85.04', '75.96,88.04']","78.96,85.04","Parts=78.96,85.04"
613,Number Theory,Easy,"lcm(16,21)?","[334, 336, 335, 333]",336,LCM=336
614,Number Theory,Medium,Is 18 prime?,"['Yes', 'No']",No,18 is No
615,Probability,Medium,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
616,Ratios,Expert,"Ratio 13:3, total=162. Find parts.","['136.62,25.38', '128.62,33.379999999999995', '131.62,30.38', '133.62,28.38']","131.62,30.38","Parts=131.62,30.38"
617,Geometry,Hard,Find area of triangle with base 6 cm and height 25 cm.,"[18.75, 75.0, 56.25, 37.5]",75,Area = 0.5*6*25 = 75.0
618,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
619,Percentages,Easy,A value changed by 10% then by 15%. What is the net change?,"['22.5% gain', '26.5% gain', '26.5% loss', '34.5% loss']",26.5% gain,Net change = 10 + 15 + (10*15/100) = 26.5%
620,Number Theory,Hard,"lcm(12,21)?","[81, 83, 82, 84]",84,LCM=84
621,Probability,Expert,Urn has 2 red and 6 blue. Prob red?,"['2/10', '1/8', '3/8', '2/8']",02-Aug,"Favorable=2, Total=8"
622,Algebra,Easy,"Solve the system: 5x+4y=-15, 3x+3y=-9","['(-2,0)', '(-4,-1)', '(-3,1)', '(-3,0)']","(-3,0)","Solved x=-3, y=0"
623,Probability,Hard,Urn has 2 red and 5 blue. Prob red?,"['2/9', '1/7', '2/7', '3/7']",02-Jul,"Favorable=2, Total=7"
624,Number Theory,Medium,Is 36 prime?,"['Yes', 'No']",No,36 is No
625,Percentages,Medium,What is 12.5% of 900?,"[112.5, 28.12, 84.38, 56.25]",112.5,12.5% = 12.5/100. So 12.5/100 × 900 = 112.5
626,Number Theory,Medium,"gcd(62,86)?","[-1, 2, 1, 0]",2,gcd=2
627,Number Theory,Easy,Is 28 prime?,"['Yes', 'No']",No,28 is No
628,Percentages,Medium,"In an election with 2 candidates, the winner got 70% of votes and won by 1800 votes. Find total votes cast.","[4498, 4499, 4497, 4500]",4500,100% = 1800/(0.4) = 4500
629,Probability,Medium,Urn has 8 red and 8 blue. Prob red?,"['7/16', '9/16', '8/18', '8/16']",Aug-16,"Favorable=8, Total=16"
630,Algebra,Hard,Find the roots of x^2 + 2x + -15 = 0,"['(3, -5)', '(4,-6)', '(2,-4)', '(-5,3)']","(3, -5)",Roots are 3 and -5
631,Algebra,Easy,Solve for x: 5x + 17 = 33,"[1.6, 2.4, 0.8, 3.2]",3.2,x = (33-17)/5 = 3.2
632,Algebra,Expert,"Solve the system: 1x+2y=-1, 2x+8y=-14","['(4,-4)', '(6,-3)', '(5,-2)', '(5,-3)']","(5,-3)","Solved x=5, y=-3"
633,Number Theory,Expert,"lcm(6,27)?","[53, 52, 51, 54]",54,LCM=54
634,Probability,Hard,Urn has 8 red and 7 blue. Prob red?,"['8/17', '9/15', '8/15', '7/15']",Aug-15,"Favorable=8, Total=15"
635,Geometry,Expert,Find area of triangle with base 9 cm and height 13 cm.,"[43.88, 14.62, 29.25, 58.5]",58.5,Area = 0.5*9*13 = 58.5
636,Percentages,Easy,A cask of 40L full of wine has 5L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[20.37, 26.8, 24.66, 22.51]",26.8,Wine remaining = 40 * (1 - 5/40)^3 = 26.8L
637,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
638,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
639,Number Theory,Expert,Is 33 prime?,"['Yes', 'No']",No,33 is No
640,Number Theory,Hard,Is 35 prime?,"['Yes', 'No']",No,35 is No
641,Algebra,Expert,"Solve the system: 8x+3y=-11, 6x+8y=-14","['(-1,-1)', '(0,-1)', '(-2,-2)', '(-1,0)']","(-1,-1)","Solved x=-1, y=-1"
642,Ratios,Medium,"Ratio 5:9, total=278. Find parts.","['101.29,176.71', '96.29,181.71', '99.29,178.71', '104.29,173.71']","99.29,178.71","Parts=99.29,178.71"
643,Number Theory,Expert,"lcm(30,22)?","[329, 328, 330, 327]",330,LCM=330
644,Ratios,Easy,"Ratio 4:6, total=291. Find parts.","['121.4,169.6', '113.4,177.6', '116.4,174.6', '118.4,172.6']","116.4,174.6","Parts=116.4,174.6"
645,Geometry,Medium,Find area of circle radius 4 cm.,"[12.57, 37.7, 25.14, 50.27]",50.27,Area=pi*r^2=50.27
646,Ratios,Easy,"Ratio 7:17, total=274. Find parts.","['76.92,197.08', '84.92,189.08', '81.92,192.08', '79.92,194.08']","79.92,194.08","Parts=79.92,194.08"
647,Algebra,Easy,"Solve the system: 4x+3y=7, 1x+6y=28","['(-1,5)', '(-2,6)', '(-3,4)', '(-2,5)']","(-2,5)","Solved x=-2, y=5"
